id,age,sex,race,class,degree,region,happy,relig,partyid,childs,marital,vetyears,srcbelt,born,gunlaw_bin,racopen_bin,getahead_bin,colcom_bin,libmslm_bin
60,43.0,2,3,3.0,3,2,1.0,2.0,0.0,1.0,1.0,0.0,3,2,1,1,0,0,1
61,51.0,1,1,2.0,4,2,2.0,4.0,1.0,0.0,5.0,0.0,3,1,1,0,0,1,1
63,47.0,2,3,3.0,4,2,1.0,4.0,1.0,0.0,1.0,0.0,3,2,1,1,1,1,0
64,47.0,2,3,3.0,4,2,2.0,2.0,2.0,0.0,5.0,0.0,3,2,1,1,1,1,1
65,34.0,1,3,3.0,4,2,2.0,6.0,3.0,0.0,1.0,0.0,3,2,1,0,0,0,1
66,69.0,1,1,4.0,4,2,1.0,4.0,0.0,2.0,1.0,1.0,3,1,1,1,1,1,1
67,65.0,2,1,4.0,3,2,1.0,3.0,5.0,0.0,1.0,0.0,3,1,1,1,0,1,1
69,24.0,1,1,2.0,3,2,2.0,2.0,5.0,0.0,5.0,0.0,3,1,1,0,1,0,1
70,32.0,1,1,2.0,1,2,3.0,2.0,6.0,0.0,5.0,0.0,3,1,0,0,1,0,1
72,66.0,2,1,3.0,4,2,2.0,4.0,0.0,2.0,1.0,0.0,3,1,1,1,1,0,1
75,39.0,2,1,3.0,4,2,2.0,6.0,0.0,1.0,1.0,0.0,3,1,0,1,1,1,1
76,41.0,2,3,3.0,4,2,3.0,5.0,3.0,3.0,1.0,0.0,3,2,1,0,1,0,1
77,54.0,1,1,3.0,3,2,1.0,2.0,1.0,2.0,1.0,0.0,3,1,1,1,1,0,1
78,58.0,2,1,4.0,3,2,2.0,3.0,0.0,1.0,3.0,0.0,3,1,1,0,1,0,1
79,43.0,1,3,1.0,1,2,3.0,4.0,3.0,3.0,1.0,0.0,1,1,1,1,1,1,1
80,55.0,2,3,2.0,0,2,3.0,2.0,2.0,4.0,5.0,0.0,1,2,1,1,0,1,0
82,40.0,2,3,2.0,0,2,2.0,2.0,2.0,1.0,5.0,0.0,1,2,1,0,0,1,1
83,35.0,2,2,2.0,1,2,2.0,2.0,2.0,1.0,4.0,0.0,1,1,1,1,1,0,0
84,43.0,1,3,1.0,0,2,3.0,11.0,3.0,0.0,1.0,0.0,1,1,1,0,0,1,1
85,36.0,2,2,1.0,0,2,2.0,4.0,1.0,2.0,5.0,0.0,1,1,1,1,0,0,0
88,41.0,1,2,2.0,3,2,1.0,2.0,1.0,2.0,1.0,0.0,1,2,1,1,0,1,0
89,25.0,1,1,2.0,1,2,1.0,1.0,0.0,2.0,5.0,0.0,1,1,1,1,0,1,0
90,48.0,2,2,2.0,2,2,1.0,1.0,3.0,0.0,5.0,0.0,1,1,0,1,0,1,0
92,72.0,2,2,3.0,1,2,2.0,1.0,3.0,5.0,1.0,0.0,1,2,0,1,0,0,0
93,27.0,2,2,3.0,3,2,1.0,1.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,0
96,26.0,2,2,2.0,2,2,2.0,2.0,1.0,0.0,5.0,0.0,1,2,1,1,0,0,0
97,28.0,2,3,2.0,1,2,3.0,1.0,1.0,1.0,4.0,0.0,1,1,1,0,1,0,1
98,37.0,2,2,2.0,1,2,3.0,1.0,2.0,2.0,5.0,0.0,1,2,1,1,0,1,0
99,,2,2,3.0,4,2,3.0,5.0,,1.0,,0.0,1,1,1,1,0,0,0
103,65.0,2,2,2.0,1,2,2.0,1.0,0.0,3.0,2.0,0.0,1,2,1,1,0,1,0
105,51.0,1,1,3.0,4,2,2.0,5.0,2.0,0.0,1.0,0.0,1,2,1,1,0,0,0
111,23.0,1,2,2.0,3,2,1.0,1.0,3.0,0.0,5.0,0.0,3,2,0,1,1,1,1
113,29.0,2,3,3.0,1,2,3.0,4.0,3.0,0.0,1.0,0.0,3,1,1,1,0,0,0
114,28.0,1,3,2.0,1,2,2.0,4.0,2.0,1.0,5.0,0.0,3,1,1,1,1,0,0
115,60.0,2,1,2.0,3,2,2.0,2.0,1.0,1.0,1.0,0.0,1,2,1,1,0,0,0
118,30.0,1,3,3.0,3,2,2.0,4.0,0.0,0.0,5.0,0.0,1,1,1,1,1,1,1
119,44.0,1,3,3.0,4,2,1.0,,,0.0,1.0,0.0,1,1,1,1,0,1,1
120,58.0,2,1,3.0,3,2,3.0,4.0,2.0,0.0,5.0,0.0,1,1,1,1,0,0,1
121,41.0,1,1,2.0,3,2,1.0,4.0,2.0,0.0,5.0,0.0,1,1,1,0,0,1,1
122,61.0,2,1,3.0,4,2,2.0,3.0,1.0,0.0,5.0,0.0,1,1,0,1,1,1,0
123,56.0,2,1,3.0,3,2,1.0,2.0,0.0,1.0,5.0,0.0,1,1,1,1,0,1,1
125,32.0,1,1,3.0,1,2,2.0,4.0,1.0,0.0,5.0,0.0,1,1,1,1,0,1,1
126,68.0,2,1,3.0,4,2,3.0,4.0,3.0,0.0,3.0,0.0,1,2,1,0,1,1,0
127,89.0,2,1,3.0,1,2,2.0,4.0,2.0,2.0,2.0,0.0,1,1,1,0,1,1,1
128,38.0,1,3,3.0,4,2,2.0,7.0,5.0,0.0,1.0,0.0,1,2,1,1,1,1,0
129,29.0,2,2,2.0,2,2,2.0,,,0.0,5.0,0.0,1,1,1,1,0,0,0
130,77.0,1,2,2.0,4,2,2.0,1.0,0.0,3.0,2.0,0.0,1,2,1,1,1,1,0
131,47.0,1,2,2.0,1,2,2.0,1.0,0.0,1.0,4.0,0.0,1,1,1,1,0,1,0
133,54.0,2,2,2.0,1,2,2.0,1.0,0.0,0.0,3.0,0.0,1,1,1,1,0,0,0
134,64.0,2,2,3.0,4,2,1.0,1.0,0.0,3.0,3.0,0.0,1,1,1,1,0,1,1
136,30.0,2,1,3.0,4,2,2.0,2.0,1.0,0.0,5.0,0.0,1,1,1,1,0,1,1
137,61.0,1,1,3.0,4,2,1.0,3.0,6.0,2.0,1.0,0.0,1,1,0,0,0,0,1
138,63.0,1,1,3.0,3,2,2.0,3.0,7.0,2.0,5.0,2.0,1,1,0,1,0,1,1
139,41.0,1,1,2.0,4,2,1.0,2.0,1.0,1.0,1.0,0.0,1,1,1,1,0,1,0
140,57.0,2,3,3.0,3,2,2.0,4.0,3.0,2.0,1.0,0.0,1,2,1,0,0,1,0
142,40.0,1,1,3.0,4,2,1.0,2.0,6.0,2.0,1.0,0.0,3,1,0,1,1,1,1
144,55.0,1,1,2.0,1,2,2.0,11.0,3.0,6.0,1.0,0.0,3,1,1,1,1,1,1
145,81.0,2,1,3.0,1,2,2.0,2.0,6.0,4.0,2.0,0.0,3,2,1,0,0,0,0
146,38.0,2,1,3.0,4,2,1.0,1.0,1.0,2.0,1.0,0.0,3,1,1,0,0,0,1
147,37.0,1,1,2.0,1,2,1.0,4.0,7.0,2.0,4.0,0.0,3,1,0,0,0,1,1
148,45.0,2,1,2.0,4,2,1.0,4.0,0.0,2.0,1.0,0.0,3,1,1,1,0,1,1
151,74.0,2,1,,3,2,2.0,4.0,3.0,2.0,3.0,0.0,1,1,1,1,1,1,1
152,84.0,2,1,3.0,3,2,3.0,1.0,1.0,0.0,5.0,0.0,1,1,1,1,0,1,1
153,54.0,1,1,2.0,1,2,3.0,3.0,3.0,5.0,1.0,0.0,1,1,1,0,1,1,0
154,23.0,1,2,2.0,1,2,2.0,4.0,3.0,1.0,5.0,0.0,3,1,1,1,1,1,1
157,48.0,1,1,2.0,2,2,2.0,2.0,4.0,1.0,1.0,0.0,3,1,0,1,0,1,0
158,46.0,1,1,3.0,1,2,3.0,2.0,6.0,0.0,5.0,0.0,3,1,1,1,0,0,0
159,51.0,1,3,1.0,0,2,3.0,2.0,1.0,6.0,1.0,2.0,3,2,1,1,0,0,1
161,54.0,1,3,2.0,0,2,1.0,2.0,0.0,2.0,1.0,0.0,3,1,1,1,1,0,0
163,75.0,2,1,3.0,4,1,2.0,2.0,2.0,3.0,2.0,0.0,5,2,1,1,1,1,1
165,63.0,2,1,3.0,1,1,1.0,2.0,0.0,1.0,3.0,0.0,5,1,1,0,0,0,1
166,82.0,2,1,3.0,1,1,1.0,2.0,2.0,5.0,3.0,0.0,5,1,1,1,0,0,0
167,50.0,2,1,2.0,2,1,3.0,5.0,3.0,3.0,3.0,0.0,5,1,1,0,1,1,1
171,59.0,2,2,3.0,3,9,3.0,1.0,0.0,1.0,3.0,0.0,3,1,1,1,1,1,0
172,45.0,2,1,2.0,4,9,2.0,4.0,0.0,0.0,5.0,0.0,3,1,1,1,1,1,1
173,55.0,1,1,2.0,2,9,1.0,4.0,5.0,0.0,1.0,0.0,3,1,0,0,0,1,1
174,62.0,2,1,3.0,4,9,3.0,10.0,5.0,1.0,3.0,0.0,3,1,0,0,0,1,1
175,77.0,2,1,3.0,1,9,2.0,10.0,3.0,3.0,3.0,0.0,3,1,1,1,0,0,0
176,46.0,1,1,3.0,3,9,2.0,4.0,2.0,0.0,5.0,0.0,3,1,1,1,1,1,1
177,59.0,1,1,3.0,1,9,1.0,4.0,3.0,1.0,3.0,0.0,3,1,0,1,0,1,1
178,20.0,2,2,2.0,1,9,2.0,4.0,2.0,0.0,5.0,0.0,3,1,0,1,1,1,0
179,63.0,1,1,2.0,4,9,2.0,11.0,0.0,7.0,4.0,0.0,3,1,1,1,0,1,1
180,71.0,2,1,3.0,4,9,1.0,4.0,5.0,0.0,3.0,0.0,3,1,1,1,0,1,1
183,26.0,2,1,2.0,1,9,2.0,2.0,3.0,2.0,1.0,0.0,3,1,1,1,0,1,0
184,46.0,1,1,2.0,1,9,1.0,4.0,2.0,1.0,5.0,0.0,3,1,0,1,0,1,1
185,56.0,2,1,3.0,0,9,3.0,1.0,3.0,4.0,5.0,0.0,3,2,1,1,0,1,0
186,45.0,2,3,3.0,1,9,3.0,2.0,1.0,1.0,3.0,0.0,3,1,1,1,0,1,1
189,48.0,1,2,2.0,3,9,2.0,13.0,2.0,4.0,3.0,2.0,3,1,0,1,1,1,1
190,31.0,1,2,2.0,1,9,3.0,11.0,4.0,0.0,5.0,0.0,3,1,1,1,0,0,0
191,37.0,1,2,3.0,3,9,3.0,1.0,0.0,0.0,5.0,0.0,3,1,1,1,0,1,1
193,26.0,2,1,2.0,1,9,1.0,2.0,1.0,2.0,5.0,0.0,3,2,1,1,0,0,1
194,54.0,2,1,2.0,0,9,1.0,4.0,2.0,1.0,1.0,0.0,1,2,1,1,0,1,0
196,79.0,2,1,3.0,1,9,2.0,1.0,4.0,4.0,1.0,0.0,1,1,1,1,0,0,0
198,27.0,1,1,2.0,1,9,3.0,2.0,2.0,0.0,5.0,0.0,1,1,0,1,1,0,0
200,41.0,1,1,2.0,1,9,2.0,1.0,5.0,2.0,1.0,0.0,1,2,1,0,0,1,1
201,63.0,1,1,2.0,1,9,3.0,1.0,4.0,0.0,3.0,0.0,1,1,0,1,0,0,1
202,25.0,1,2,2.0,1,9,3.0,1.0,1.0,0.0,5.0,0.0,1,1,1,1,0,1,1
204,34.0,2,2,1.0,0,9,2.0,11.0,1.0,2.0,5.0,0.0,1,1,1,1,0,0,0
205,46.0,1,3,3.0,3,9,2.0,1.0,2.0,2.0,1.0,0.0,1,1,1,1,0,1,1
207,34.0,2,3,2.0,1,9,2.0,2.0,2.0,3.0,4.0,0.0,1,1,1,1,1,1,0
208,22.0,2,1,2.0,0,9,3.0,4.0,3.0,3.0,5.0,0.0,1,1,1,1,0,1,0
211,53.0,2,1,2.0,0,9,1.0,2.0,3.0,3.0,1.0,0.0,1,2,1,1,1,1,0
212,54.0,2,1,2.0,0,9,2.0,2.0,5.0,4.0,1.0,0.0,1,2,1,1,0,1,1
213,50.0,2,3,3.0,1,9,,5.0,,0.0,5.0,,1,1,1,1,0,0,1
216,19.0,1,2,2.0,1,9,1.0,4.0,3.0,0.0,5.0,0.0,1,2,1,0,0,1,0
217,56.0,1,3,2.0,0,9,1.0,2.0,2.0,4.0,1.0,0.0,1,2,0,1,0,0,0
218,46.0,1,3,3.0,1,9,1.0,4.0,2.0,2.0,1.0,0.0,1,1,1,1,0,1,1
220,41.0,2,1,2.0,1,9,2.0,,0.0,0.0,4.0,0.0,1,1,1,0,0,1,0
221,29.0,1,1,2.0,0,9,1.0,11.0,3.0,2.0,1.0,0.0,1,2,1,1,0,0,0
223,56.0,1,1,3.0,1,9,3.0,1.0,4.0,0.0,1.0,0.0,1,1,1,1,1,1,1
227,61.0,1,1,4.0,4,9,2.0,4.0,0.0,2.0,1.0,0.0,1,1,1,1,0,1,1
228,78.0,2,2,1.0,1,9,2.0,1.0,2.0,0.0,2.0,0.0,1,1,1,1,1,1,1
229,43.0,1,1,2.0,1,9,1.0,2.0,3.0,1.0,2.0,0.0,1,1,1,0,0,0,0
231,59.0,1,1,2.0,1,9,2.0,2.0,1.0,0.0,5.0,0.0,1,1,1,1,0,1,1
233,37.0,1,1,3.0,2,9,1.0,4.0,0.0,1.0,1.0,0.0,1,1,0,1,1,1,1
234,41.0,2,1,3.0,3,9,1.0,2.0,1.0,1.0,1.0,0.0,1,1,1,1,1,1,0
235,59.0,2,1,3.0,3,9,1.0,5.0,2.0,2.0,3.0,0.0,1,2,1,1,1,1,1
236,23.0,2,1,2.0,1,9,2.0,6.0,7.0,0.0,5.0,0.0,1,1,0,1,1,1,0
238,30.0,2,1,2.0,3,9,2.0,4.0,2.0,0.0,5.0,0.0,1,1,1,1,0,0,1
239,75.0,2,1,3.0,0,9,2.0,2.0,4.0,6.0,1.0,0.0,1,1,0,1,0,0,0
240,46.0,2,1,1.0,0,9,3.0,2.0,1.0,2.0,5.0,0.0,1,2,1,1,0,0,0
241,19.0,1,1,2.0,1,9,2.0,2.0,3.0,0.0,5.0,0.0,1,1,1,1,0,1,0
245,58.0,1,3,2.0,0,9,2.0,2.0,1.0,3.0,1.0,0.0,1,2,1,0,1,1,0
247,75.0,2,3,3.0,3,9,1.0,1.0,4.0,4.0,1.0,0.0,3,2,0,1,1,1,1
248,89.0,1,1,3.0,1,9,1.0,2.0,6.0,4.0,2.0,2.0,3,1,1,1,1,0,0
249,41.0,2,3,2.0,1,9,2.0,2.0,3.0,2.0,5.0,0.0,3,1,0,1,0,1,0
250,32.0,1,3,2.0,3,9,1.0,4.0,4.0,0.0,1.0,0.0,3,2,1,0,1,1,0
252,72.0,1,1,2.0,3,9,1.0,1.0,4.0,3.0,1.0,0.0,3,1,1,1,1,0,1
253,66.0,2,1,3.0,2,9,2.0,4.0,1.0,2.0,3.0,0.0,3,1,0,0,1,1,1
255,45.0,2,1,2.0,1,9,2.0,2.0,4.0,1.0,3.0,0.0,4,1,0,0,1,1,1
262,42.0,2,2,3.0,0,9,2.0,4.0,2.0,6.0,5.0,0.0,2,1,1,1,1,0,1
263,25.0,2,3,3.0,0,9,2.0,1.0,3.0,4.0,1.0,0.0,2,1,1,1,0,1,0
264,59.0,2,1,3.0,0,9,3.0,2.0,1.0,1.0,3.0,0.0,2,1,1,1,1,1,0
265,80.0,2,1,3.0,0,9,2.0,1.0,5.0,4.0,2.0,0.0,2,1,1,1,0,1,0
268,78.0,1,1,2.0,4,9,3.0,4.0,,1.0,4.0,4.0,2,1,1,0,1,0,0
271,43.0,1,1,2.0,2,9,2.0,1.0,4.0,2.0,1.0,0.0,4,1,0,1,1,1,0
272,81.0,1,1,3.0,3,9,1.0,2.0,6.0,3.0,1.0,2.0,4,1,0,1,0,0,0
273,63.0,2,2,3.0,3,9,2.0,,,3.0,1.0,0.0,4,1,1,0,1,0,1
274,48.0,1,2,2.0,1,9,3.0,1.0,0.0,2.0,3.0,0.0,4,1,1,1,1,0,0
275,48.0,2,3,3.0,1,9,1.0,2.0,1.0,2.0,5.0,0.0,4,1,1,1,0,1,0
276,57.0,1,2,3.0,1,9,1.0,1.0,0.0,3.0,1.0,0.0,4,1,1,1,0,0,0
277,29.0,2,1,3.0,1,9,2.0,4.0,0.0,1.0,5.0,0.0,4,1,1,0,1,0,1
280,50.0,2,2,2.0,2,9,1.0,1.0,0.0,5.0,3.0,0.0,4,1,1,1,0,0,0
283,32.0,1,1,2.0,4,9,2.0,2.0,1.0,2.0,1.0,0.0,2,1,1,0,0,1,0
285,85.0,2,1,3.0,4,9,2.0,1.0,0.0,4.0,3.0,0.0,2,1,1,1,1,1,1
287,26.0,2,1,2.0,1,9,3.0,4.0,2.0,2.0,4.0,0.0,4,2,1,1,0,1,0
289,39.0,2,3,3.0,0,9,1.0,2.0,3.0,3.0,1.0,0.0,4,2,1,1,0,0,0
290,20.0,1,1,3.0,1,9,2.0,2.0,2.0,0.0,5.0,0.0,4,2,0,1,0,1,1
291,39.0,2,1,2.0,1,3,2.0,2.0,5.0,3.0,1.0,0.0,3,1,0,1,0,0,1
292,57.0,2,1,3.0,1,3,2.0,4.0,0.0,2.0,1.0,0.0,3,1,1,0,0,0,0
293,87.0,2,1,3.0,1,3,3.0,1.0,6.0,2.0,2.0,0.0,3,1,1,0,0,0,0
294,81.0,2,1,3.0,0,3,1.0,1.0,4.0,5.0,1.0,0.0,3,1,0,1,0,0,0
295,31.0,1,1,2.0,1,3,2.0,4.0,4.0,1.0,5.0,0.0,3,1,1,0,1,1,0
297,31.0,2,1,2.0,1,3,2.0,4.0,3.0,1.0,1.0,0.0,3,1,1,0,0,1,0
298,61.0,1,3,3.0,1,3,2.0,4.0,0.0,1.0,1.0,0.0,3,1,0,1,0,0,1
300,84.0,1,1,3.0,3,3,2.0,1.0,4.0,0.0,5.0,1.0,1,1,1,1,0,1,1
301,54.0,2,1,4.0,3,3,1.0,1.0,2.0,0.0,1.0,0.0,1,1,1,0,0,1,1
303,84.0,2,1,3.0,4,3,1.0,2.0,3.0,2.0,1.0,0.0,1,2,0,0,0,1,1
306,65.0,1,1,3.0,3,3,3.0,3.0,0.0,0.0,3.0,0.0,1,1,1,1,1,0,1
307,34.0,2,2,2.0,4,3,1.0,11.0,1.0,0.0,3.0,0.0,1,2,1,1,1,1,1
308,78.0,2,1,3.0,0,3,3.0,1.0,0.0,2.0,2.0,0.0,1,1,1,0,0,0,0
309,85.0,2,1,2.0,1,3,3.0,1.0,3.0,1.0,3.0,0.0,1,2,1,1,0,0,0
310,73.0,2,1,2.0,0,3,3.0,2.0,1.0,2.0,2.0,0.0,1,2,1,1,0,0,0
311,25.0,2,1,2.0,1,3,2.0,2.0,1.0,0.0,5.0,2.0,1,1,1,1,0,1,1
312,30.0,2,1,3.0,4,3,1.0,1.0,3.0,0.0,1.0,0.0,1,1,1,1,0,1,1
315,40.0,2,2,2.0,1,3,2.0,1.0,1.0,5.0,2.0,0.0,1,1,0,1,0,0,0
316,25.0,1,2,2.0,1,3,2.0,4.0,3.0,0.0,5.0,0.0,1,1,1,1,0,1,1
317,55.0,1,3,2.0,3,3,1.0,2.0,0.0,2.0,1.0,0.0,1,2,1,1,1,1,0
318,19.0,2,3,2.0,0,3,2.0,1.0,2.0,0.0,5.0,0.0,1,1,1,0,0,1,0
319,31.0,2,3,4.0,0,3,2.0,11.0,4.0,4.0,5.0,0.0,1,2,1,1,1,0,1
323,70.0,2,1,3.0,4,3,2.0,2.0,0.0,2.0,1.0,0.0,3,1,1,1,1,1,1
326,50.0,2,3,2.0,1,3,2.0,1.0,3.0,1.0,1.0,0.0,3,1,1,1,0,1,0
327,36.0,2,1,2.0,1,3,3.0,11.0,0.0,2.0,1.0,0.0,3,2,1,1,0,0,0
328,34.0,2,3,3.0,1,3,2.0,2.0,2.0,2.0,3.0,0.0,3,2,1,1,0,1,1
329,19.0,2,3,2.0,1,3,2.0,2.0,2.0,0.0,5.0,0.0,3,1,1,1,0,1,1
330,39.0,2,3,2.0,1,3,2.0,2.0,3.0,4.0,3.0,0.0,3,2,0,1,0,1,0
331,66.0,1,3,3.0,1,3,2.0,2.0,1.0,4.0,1.0,0.0,3,2,1,1,1,1,1
332,73.0,2,1,3.0,4,3,2.0,3.0,0.0,2.0,3.0,0.0,3,1,1,1,1,1,1
337,74.0,2,1,3.0,0,3,3.0,10.0,4.0,4.0,4.0,0.0,3,1,1,1,0,0,0
338,36.0,2,3,2.0,0,3,1.0,2.0,5.0,3.0,1.0,0.0,3,2,0,1,0,0,0
339,23.0,1,2,2.0,1,3,2.0,4.0,1.0,2.0,5.0,0.0,3,1,1,1,0,1,0
340,64.0,2,1,3.0,4,3,2.0,1.0,6.0,0.0,1.0,0.0,3,1,1,1,0,1,0
341,39.0,2,3,3.0,1,3,2.0,4.0,2.0,0.0,5.0,0.0,3,2,1,1,0,1,1
342,82.0,1,1,3.0,4,3,1.0,1.0,,2.0,1.0,0.0,3,1,1,1,0,1,1
344,74.0,1,1,3.0,3,3,1.0,2.0,0.0,3.0,1.0,0.0,3,1,1,1,1,1,1
345,45.0,2,1,3.0,3,3,2.0,1.0,7.0,1.0,1.0,0.0,3,1,1,1,0,1,1
347,69.0,2,1,2.0,1,3,2.0,1.0,6.0,2.0,2.0,0.0,3,1,0,1,0,0,0
350,42.0,2,1,3.0,4,3,1.0,2.0,0.0,1.0,1.0,0.0,3,1,1,1,0,1,1
351,70.0,1,1,3.0,4,3,2.0,1.0,5.0,2.0,1.0,0.0,3,1,0,0,0,1,1
353,53.0,2,1,3.0,1,3,1.0,2.0,7.0,3.0,1.0,0.0,3,1,1,1,0,0,0
355,29.0,1,1,3.0,3,3,2.0,2.0,2.0,0.0,1.0,0.0,3,1,1,0,0,1,1
356,28.0,1,3,2.0,1,3,2.0,5.0,1.0,0.0,5.0,0.0,3,1,0,1,1,1,1
359,35.0,2,1,1.0,0,3,2.0,2.0,1.0,4.0,5.0,0.0,3,1,0,0,1,0,0
360,50.0,2,1,3.0,4,3,2.0,4.0,0.0,1.0,1.0,0.0,3,1,1,1,0,1,1
361,57.0,2,1,3.0,1,3,2.0,2.0,4.0,1.0,2.0,0.0,3,1,0,1,0,0,1
362,40.0,1,1,3.0,1,3,1.0,4.0,0.0,1.0,3.0,0.0,3,1,1,0,0,1,1
363,32.0,2,1,2.0,1,5,2.0,5.0,1.0,0.0,1.0,0.0,4,1,0,1,0,1,1
364,30.0,2,1,3.0,3,5,1.0,2.0,6.0,0.0,5.0,0.0,4,1,1,1,0,1,1
366,49.0,1,1,3.0,3,5,2.0,1.0,5.0,3.0,1.0,0.0,4,1,0,0,0,1,1
368,24.0,2,1,3.0,3,5,2.0,1.0,3.0,0.0,5.0,0.0,5,1,0,1,0,1,0
369,49.0,2,1,3.0,3,5,1.0,2.0,5.0,5.0,1.0,0.0,5,1,1,1,0,1,0
370,66.0,1,1,,1,5,2.0,,3.0,1.0,1.0,2.0,5,1,1,0,1,0,1
372,67.0,1,3,4.0,4,5,2.0,7.0,0.0,2.0,1.0,0.0,4,2,1,1,0,1,0
